True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep
0.028338,0.024489,4.335,3.8563,0.47685,0.43129,0.11,0.11184
0.064433,0.06537,4.1617,3.8276,0.45778,0.40614,0.11,0.10611
0.21709,0.19585,2.7978,2.2881,0.30776,0.28037,0.11,0.12254
0.20888,0.18972,4.3424,3.7973,0.47766,0.42726,0.11,0.11252
0.05995,0.052266,3.2722,2.8707,0.35994,0.32261,0.11,0.11238
0.095554,0.086392,2.826,2.7746,0.31086,0.27687,0.11,0.099788
0.25641,0.2307,4.2858,3.6925,0.47144,0.43217,0.11,0.11704
0.053797,0.046006,3.8606,3.4464,0.42466,0.3824,0.11,0.11096
0.1415,0.13115,3.2645,3.1581,0.3591,0.31541,0.11,0.099874
0.17,0.14907,3.6863,3.1244,0.40549,0.37109,0.11,0.11877
0.04938,0.045896,3.2084,2.901,0.35293,0.31434,0.11,0.10836
0.05488,0.049774,3.9764,3.1593,0.4374,0.40559,0.11,0.12838
0.14608,0.13668,3.796,3.4067,0.41756,0.36996,0.11,0.1086
0.17446,0.15648,0.60261,0.48997,0.066287,0.060557,0.11,0.12359
0.1696,0.15653,3.6999,3.3881,0.40699,0.36326,0.11,0.10722
0.076885,0.071062,3.8542,3.5842,0.42396,0.37832,0.11,0.10555
0.28134,0.2566,1.3902,1.3451,0.15292,0.13288,0.11,0.098788
0.23049,0.21398,3.6832,3.4302,0.40515,0.36233,0.11,0.10563
0.13416,0.12236,1.6455,1.447,0.18101,0.16131,0.11,0.11148
0.12979,0.11698,1.1734,1.1796,0.12908,0.11493,0.11,0.097433
0.12085,0.11042,1.7338,1.4781,0.19072,0.17267,0.11,0.11682
0.11652,0.10542,2.0806,1.9966,0.22886,0.20207,0.11,0.10121
0.21292,0.19051,0.92522,0.88159,0.10177,0.091172,0.11,0.10342
0.14369,0.14061,3.7632,3.2951,0.41395,0.36964,0.11,0.11218
0.067907,0.060179,1.2007,1.0193,0.13208,0.1198,0.11,0.11753
0.26492,0.23661,0.90245,0.84421,0.09927,0.09108,0.11,0.10789
0.14993,0.13357,0.75076,0.67459,0.082584,0.07468,0.11,0.1107
0.04618,0.044038,2.0837,1.8381,0.2292,0.20598,0.11,0.11206
0.25327,0.22639,2.1355,2.1087,0.23491,0.2096,0.11,0.099399
0.1532,0.13945,3.0741,2.7812,0.33815,0.305,0.11,0.10967
0.10186,0.095549,3.7763,3.5525,0.4154,0.3695,0.11,0.10401
0.10199,0.091194,0.7224,0.65836,0.079464,0.07059,0.11,0.10722
0.16589,0.14987,1.3657,1.1894,0.15023,0.13463,0.11,0.11319
0.044308,0.04541,4.3457,3.9544,0.47803,0.42924,0.11,0.10855
0.097798,0.087626,1.8988,1.7999,0.20887,0.18752,0.11,0.10418
0.035034,0.031396,1.5782,1.4579,0.17361,0.15487,0.11,0.10623
0.24088,0.22044,2.8178,3.1779,0.30996,0.26579,0.11,0.083639
0.056779,0.053897,3.9038,3.5036,0.42941,0.38547,0.11,0.11002
0.10078,0.092181,2.998,2.738,0.32978,0.29525,0.11,0.10784
0.068306,0.061842,2.923,2.5911,0.32153,0.28657,0.11,0.1106
0.25083,0.22578,1.6228,1.3733,0.17851,0.16194,0.11,0.11792
0.1779,0.16432,3.5966,3.2081,0.39563,0.35678,0.11,0.11121
0.2129,0.19084,0.66307,0.47256,0.072937,0.07056,0.11,0.14932
0.032272,0.031358,3.1205,3.0202,0.34325,0.30494,0.11,0.10097
0.038049,0.037287,3.5842,3.3134,0.39426,0.35419,0.11,0.1069
0.12365,0.11559,2.6257,2.5562,0.28882,0.2546,0.11,0.0996
0.27135,0.24631,2.0186,2.0935,0.22204,0.19207,0.11,0.091749
0.24212,0.21897,0.6354,0.48533,0.069894,0.064102,0.11,0.13208
0.17341,0.15297,4.1777,3.4609,0.45955,0.42163,0.11,0.12182
0.24043,0.21201,4.4551,3.7659,0.49006,0.4486,0.11,0.11912
0.27249,0.24739,3.5219,3.3662,0.3874,0.34198,0.11,0.10159
0.080314,0.075485,2.2302,2.2554,0.24532,0.21537,0.11,0.09549
0.22116,0.1981,0.83706,0.78122,0.092077,0.082395,0.11,0.10547
0.2782,0.24299,1.8389,1.7028,0.20228,0.18322,0.11,0.1076
0.041411,0.039337,1.7853,1.5715,0.19638,0.17529,0.11,0.11154
0.28081,0.25676,3.1293,3.0859,0.34422,0.30248,0.11,0.098019
0.29308,0.25548,4.2093,3.3747,0.46302,0.42655,0.11,0.12639
0.183,0.16278,1.5396,1.2182,0.16936,0.1567,0.11,0.12863
0.28027,0.25203,1.8878,1.7324,0.20766,0.18666,0.11,0.10775
0.28033,0.25653,3.2897,3.0796,0.36186,0.32313,0.11,0.10492
0.059983,0.053007,2.8258,2.5308,0.31083,0.28044,0.11,0.11081
0.2068,0.18804,2.0968,1.904,0.23064,0.20834,0.11,0.10942
0.16582,0.14888,1.4101,1.1317,0.15511,0.14047,0.11,0.12412
0.27618,0.25089,2.958,2.9577,0.32538,0.28355,0.11,0.095869
0.18399,0.17105,3.036,3.2529,0.33396,0.29089,0.11,0.089426
0.012724,0.013746,2.6381,2.3593,0.29019,0.25996,0.11,0.11019
0.10642,0.097668,0.90355,0.90145,0.099391,0.087196,0.11,0.096729
0.18197,0.16322,3.0677,2.652,0.33745,0.30325,0.11,0.11435
0.051701,0.05053,3.0838,2.9516,0.33921,0.2971,0.11,0.10066
0.20151,0.18197,1.4934,1.2733,0.16427,0.14838,0.11,0.11653
0.17882,0.15788,2.7352,2.4996,0.30087,0.27063,0.11,0.10827
0.15966,0.14242,4.474,3.8638,0.49214,0.44894,0.11,0.11619
0.22801,0.20288,1.6965,1.4464,0.18661,0.17121,0.11,0.11837
0.053237,0.047213,3.2348,2.7587,0.35583,0.32166,0.11,0.1166
0.21973,0.19907,0.60158,0.62662,0.066174,0.056856,0.11,0.090735
0.24788,0.22437,3.7358,3.1736,0.41094,0.37063,0.11,0.11678
0.036745,0.031636,1.5824,1.4,0.17406,0.15796,0.11,0.11283
0.11303,0.1015,2.9231,2.5306,0.32154,0.29374,0.11,0.11607
0.24644,0.22021,3.0323,2.6401,0.33355,0.30348,0.11,0.11495
0.22375,0.2019,2.9394,2.8721,0.32333,0.28697,0.11,0.099913
0.13006,0.11335,4.1812,3.2968,0.45993,0.42385,0.11,0.12856
0.20543,0.18637,0.67181,0.74361,0.073899,0.063467,0.11,0.08535
0.11402,0.10525,4.1028,3.7182,0.45131,0.40757,0.11,0.10961
0.1514,0.13719,3.2971,2.9642,0.36268,0.32372,0.11,0.10921
0.14292,0.12815,3.6192,3.2831,0.39812,0.35577,0.11,0.10837
0.13832,0.12793,4.3467,3.9641,0.47813,0.42807,0.11,0.10799
0.13625,0.12254,1.0637,0.89412,0.117,0.10621,0.11,0.11878
0.27576,0.24701,0.91373,0.74748,0.10051,0.09066,0.11,0.12129
0.095062,0.083578,3.5624,3.0521,0.39187,0.35789,0.11,0.11726
0.046175,0.049385,4.5034,4.2055,0.49537,0.43526,0.11,0.1035
0.040802,0.037317,1.075,1.0202,0.11824,0.10422,0.11,0.10216
0.19025,0.17083,4.3871,4.0593,0.48258,0.42932,0.11,0.10576
0.18324,0.16677,4.2809,3.6358,0.4709,0.43185,0.11,0.11878
0.22744,0.20851,3.8762,3.882,0.42638,0.37465,0.11,0.09651
0.044633,0.042835,3.1619,2.9012,0.34781,0.31034,0.11,0.10697
0.28199,0.25413,2.0488,1.7126,0.22536,0.20756,0.11,0.1212
0.22839,0.19944,4.4706,3.7818,0.49176,0.44993,0.11,0.11897
0.10764,0.095314,1.9796,1.9064,0.21776,0.19396,0.11,0.10174
0.23803,0.21254,2.3109,2.0164,0.2542,0.23066,0.11,0.11439
0.17493,0.1562,0.89836,0.73516,0.098819,0.089503,0.11,0.12175
0.041124,0.03731,2.9263,2.6812,0.3219,0.28896,0.11,0.10777
0.22505,0.20286,3.0437,2.5832,0.33481,0.3043,0.11,0.1178
0.023703,0.023969,1.553,1.4715,0.17083,0.15229,0.11,0.10349
0.10408,0.10019,3.6472,3.4372,0.4012,0.35403,0.11,0.103
0.17581,0.15799,1.464,1.2597,0.16104,0.14541,0.11,0.11543
0.22401,0.20278,0.59536,0.52524,0.06549,0.059585,0.11,0.11344
0.11544,0.10146,2.2102,1.8703,0.24313,0.22223,0.11,0.11882
0.10248,0.091607,0.89415,0.82743,0.098356,0.08757,0.11,0.10583
0.030091,0.027199,3.0724,2.5714,0.33797,0.30735,0.11,0.11953
0.062604,0.057623,3.9623,3.5563,0.43585,0.39636,0.11,0.11145
0.24183,0.22526,3.3947,3.4763,0.37341,0.32312,0.11,0.092948
0.033746,0.025099,4.35,3.7538,0.4785,0.43677,0.11,0.11635
0.28715,0.25715,1.7524,1.8396,0.19276,0.16778,0.11,0.091202
0.029335,0.026133,1.2351,1.0783,0.13586,0.12164,0.11,0.1128
0.28705,0.26477,3.9926,3.5077,0.43919,0.39736,0.11,0.11328
0.084258,0.075455,0.724,0.62791,0.07964,0.071214,0.11,0.11342
0.18536,0.1674,0.99524,0.9329,0.10948,0.095412,0.11,0.10227
0.17735,0.16066,4.4494,4.1899,0.48944,0.43999,0.11,0.10501
0.26237,0.23697,0.92843,0.9522,0.10213,0.088991,0.11,0.093458
0.2074,0.18338,1.7771,1.7371,0.19548,0.17582,0.11,0.10121
0.13551,0.12261,1.2259,1.1771,0.13485,0.11766,0.11,0.099954
0.15899,0.14594,3.6301,3.4192,0.39931,0.35392,0.11,0.10351
0.19303,0.17251,3.7765,3.1778,0.41542,0.37799,0.11,0.11895
0.025329,0.022433,0.59522,0.51843,0.065474,0.059416,0.11,0.11461
0.26797,0.24273,3.1749,2.9482,0.34924,0.31136,0.11,0.10561
0.27193,0.24503,2.0045,1.88,0.2205,0.19751,0.11,0.10506
0.17031,0.15369,3.3542,2.9339,0.36896,0.33482,0.11,0.11412
0.1365,0.12432,1.5795,1.4571,0.17374,0.15547,0.11,0.1067
0.16624,0.15282,4.5287,4.2546,0.49816,0.44068,0.11,0.10358
0.068034,0.060481,3.4316,3.0208,0.37748,0.33889,0.11,0.11219
0.08851,0.080839,2.8346,2.7395,0.31181,0.27832,0.11,0.1016
0.19004,0.17219,1.2858,1.156,0.14144,0.12745,0.11,0.11025
0.013001,0.012598,3.1883,2.8531,0.35071,0.31527,0.11,0.1105
0.069867,0.064336,3.2821,3.0598,0.36104,0.32148,0.11,0.10507
0.03327,0.029541,2.8426,2.4838,0.31269,0.28294,0.11,0.11391
0.041193,0.037312,0.80957,0.73043,0.089052,0.079574,0.11,0.10894
0.031107,0.033042,3.4491,3.1075,0.3794,0.3382,0.11,0.10883
0.037068,0.034656,2.0887,1.847,0.22975,0.20743,0.11,0.11231
0.24375,0.21775,1.3259,1.3414,0.14585,0.12955,0.11,0.096577
0.16843,0.15065,1.2135,1.1363,0.13349,0.11839,0.11,0.10419
0.17849,0.16207,2.7028,2.4597,0.29731,0.26355,0.11,0.10715
0.078878,0.069869,2.5719,2.2453,0.28291,0.25639,0.11,0.11419
0.045649,0.041857,1.3149,1.1873,0.14464,0.13198,0.11,0.11116
0.15003,0.13375,1.2057,1.0361,0.13263,0.12088,0.11,0.11666
0.17154,0.1544,1.7664,1.362,0.1943,0.17913,0.11,0.13152
0.049747,0.043946,1.4494,1.2964,0.15943,0.14371,0.11,0.11085
0.21802,0.1951,1.7302,1.5746,0.19032,0.17419,0.11,0.11062
0.20616,0.18703,2.8808,2.8036,0.31689,0.28133,0.11,0.10035
0.080816,0.072841,2.7993,2.5909,0.30792,0.27452,0.11,0.10596
0.25442,0.22797,0.78988,0.79116,0.086887,0.07592,0.11,0.09596
0.28209,0.24981,0.75025,0.55841,0.082527,0.0781,0.11,0.13986
0.17052,0.15472,1.1849,1.1106,0.13034,0.11632,0.11,0.10474
0.036448,0.034144,2.111,1.9486,0.23221,0.20545,0.11,0.10544
0.20048,0.18095,3.387,2.7607,0.37257,0.33991,0.11,0.12313
0.056211,0.048964,3.6627,3.2782,0.4029,0.3656,0.11,0.11152
0.27331,0.25123,3.3975,2.9327,0.37372,0.33609,0.11,0.1146
0.080735,0.074673,2.2681,2.0953,0.24949,0.22062,0.11,0.1053
0.14369,0.12834,1.7181,1.5476,0.18899,0.17077,0.11,0.11034
0.17868,0.16394,3.5517,3.1779,0.39069,0.34853,0.11,0.10967
0.081917,0.073887,2.5092,2.1866,0.27601,0.24854,0.11,0.11366
0.19369,0.17639,3.2493,2.8614,0.35743,0.31891,0.11,0.11145
0.26245,0.2398,2.2913,1.9404,0.25204,0.22434,0.11,0.11562
0.17766,0.15809,1.053,0.93413,0.11583,0.10668,0.11,0.1142
0.29116,0.26034,1.0736,0.96687,0.1181,0.1069,0.11,0.11056
0.22945,0.20482,1.5179,1.3567,0.16697,0.15016,0.11,0.11068
0.29599,0.26717,4.1602,3.8143,0.45762,0.41343,0.11,0.10839
0.27362,0.24352,1.3681,1.1935,0.1505,0.13565,0.11,0.11366
0.26046,0.23584,2.8405,2.5791,0.31246,0.28165,0.11,0.1092
0.28693,0.25603,1.5113,1.1269,0.16624,0.15621,0.11,0.13862
0.24556,0.22308,2.3129,2.1663,0.25442,0.2243,0.11,0.10354
0.23374,0.21239,1.7865,1.4884,0.19652,0.17942,0.11,0.12055
0.21884,0.19669,2.3762,2.1192,0.26138,0.23598,0.11,0.11135
0.27092,0.24587,2.3339,2.1637,0.25672,0.22752,0.11,0.10515
0.1491,0.13655,2.789,2.6263,0.30679,0.26989,0.11,0.10276
0.26258,0.23588,0.7267,0.60392,0.079937,0.072321,0.11,0.11975
0.068013,0.06148,2.1245,1.8517,0.23369,0.20915,0.11,0.11295
0.075603,0.067672,4.1778,3.6402,0.45956,0.41603,0.11,0.11429
0.085931,0.07735,0.98275,0.84061,0.1081,0.09819,0.11,0.11681
0.077609,0.070126,0.58385,0.64016,0.064224,0.05596,0.11,0.087415
0.29913,0.26999,0.90659,0.69635,0.099725,0.09354,0.11,0.13433
0.16804,0.15204,3.51,3.3318,0.3861,0.3416,0.11,0.10253
0.18411,0.16547,0.53572,0.53409,0.05893,0.051764,0.11,0.096921
0.13801,0.12416,3.7551,3.5179,0.41306,0.36655,0.11,0.1042
0.23574,0.21166,1.9903,1.722,0.21894,0.19852,0.11,0.11529
0.21268,0.19212,3.7582,3.4119,0.4134,0.37049,0.11,0.10859
0.18012,0.1598,3.8331,3.6257,0.42164,0.37519,0.11,0.10348
0.10066,0.091979,2.7589,2.5367,0.30348,0.26901,0.11,0.10605
0.14826,0.12761,4.3484,3.5946,0.47832,0.44346,0.11,0.12337
0.021054,0.019295,1.1921,1.0731,0.13113,0.11776,0.11,0.10974
0.15014,0.1349,2.8637,2.5727,0.315,0.27993,0.11,0.10881
0.11962,0.10905,3.8152,3.534,0.41967,0.37559,0.11,0.10628
0.26233,0.24007,4.4389,3.8767,0.48828,0.44115,0.11,0.11379
0.24164,0.21551,1.1592,0.99015,0.12751,0.11696,0.11,0.11812
0.099094,0.08836,1.8268,1.5723,0.20095,0.18268,0.11,0.11619
0.091031,0.08416,4.4764,4.1118,0.4924,0.4388,0.11,0.10672
0.012666,0.011641,0.9724,0.8325,0.10696,0.096299,0.11,0.11567
0.099799,0.090251,2.2677,2.276,0.24944,0.21989,0.11,0.096616
0.13492,0.1228,3.255,3.0106,0.35805,0.3183,0.11,0.10573
0.0901,0.079921,1.5521,1.3041,0.17073,0.15471,0.11,0.11864
0.25704,0.23183,1.9962,1.7755,0.21959,0.19752,0.11,0.11124
0.1846,0.16525,0.62454,0.55552,0.068699,0.061809,0.11,0.11126
0.23094,0.20561,2.6546,2.2503,0.292,0.26689,0.11,0.11861
0.10831,0.098813,1.6039,1.4116,0.17643,0.15834,0.11,0.11218
0.15431,0.13894,1.5339,1.3161,0.16873,0.1535,0.11,0.11663
0.25711,0.23083,4.1674,3.5186,0.45842,0.41828,0.11,0.11888
0.28779,0.25921,3.3606,2.9317,0.36966,0.33531,0.11,0.11437
0.12229,0.11009,3.6932,3.4042,0.40625,0.36247,0.11,0.10647
0.014007,0.012534,1.4645,1.2472,0.16109,0.14613,0.11,0.11717
0.03121,0.029242,2.884,2.5854,0.31724,0.28325,0.11,0.10956
0.11664,0.10639,1.195,1.1657,0.13145,0.11523,0.11,0.098845
0.10838,0.095682,3.6684,3.2191,0.40352,0.36375,0.11,0.113
0.25484,0.23389,2.7956,2.4546,0.30751,0.27879,0.11,0.11358
0.010581,0.0094666,2.5734,2.363,0.28308,0.2531,0.11,0.10711
0.18194,0.16628,2.7655,2.4761,0.30421,0.27404,0.11,0.11068
0.085513,0.080013,3.5472,3.3211,0.39019,0.34689,0.11,0.10445
0.11103,0.098218,1.851,1.6615,0.20361,0.18282,0.11,0.11003
0.068495,0.061064,1.8078,1.5041,0.19886,0.18285,0.11,0.12157
0.07396,0.067749,1.267,1.2137,0.13938,0.12311,0.11,0.10144
0.062946,0.057979,3.3008,2.7451,0.36308,0.32984,0.11,0.12015
0.14295,0.12983,2.8732,2.5218,0.31605,0.28634,0.11,0.11355
0.2293,0.20104,2.507,2.1203,0.27577,0.25238,0.11,0.11903
0.045637,0.041465,3.706,3.1635,0.40767,0.36947,0.11,0.11679
0.092656,0.085536,4.1438,3.8349,0.45581,0.40445,0.11,0.10546
0.045618,0.044157,4.0294,3.7253,0.44323,0.39406,0.11,0.10578
0.15757,0.13834,2.3483,2.0749,0.25831,0.23337,0.11,0.11247
0.24683,0.21691,3.6857,3.1487,0.40543,0.37043,0.11,0.11765
0.13616,0.12336,3.5732,3.523,0.39305,0.3467,0.11,0.098408
0.15202,0.13716,0.62948,0.56965,0.069243,0.061584,0.11,0.10811
0.2877,0.25976,1.8493,1.7213,0.20342,0.18198,0.11,0.10572
0.065409,0.059297,1.3912,1.1351,0.15303,0.14015,0.11,0.12347
0.2518,0.22759,1.9631,1.9435,0.21595,0.19133,0.11,0.098446
0.26959,0.24335,3.2628,2.7031,0.3589,0.32991,0.11,0.12205
0.25325,0.22673,1.5763,1.3588,0.17339,0.15676,0.11,0.11536
0.035839,0.034493,3.3991,2.9464,0.3739,0.33541,0.11,0.11384
0.056673,0.055576,3.4629,3.1907,0.38092,0.33722,0.11,0.10569
0.076682,0.069972,1.235,1.0731,0.13585,0.12197,0.11,0.11366
0.13834,0.12591,2.4065,2.1542,0.26471,0.2371,0.11,0.11007
0.17547,0.15379,2.2524,1.7486,0.24777,0.23205,0.11,0.1327
0.17921,0.16208,0.65304,0.6165,0.071835,0.063538,0.11,0.10306
0.22216,0.20412,2.958,2.7026,0.32538,0.28842,0.11,0.10672
0.063341,0.058683,1.7467,1.5532,0.19213,0.17191,0.11,0.11068
0.23231,0.20949,0.61179,0.65985,0.067296,0.058345,0.11,0.088421
0.28413,0.25823,1.4041,1.2411,0.15445,0.13818,0.11,0.11134
0.22815,0.20867,3.4418,3.0201,0.3786,0.34149,0.11,0.11307
0.079636,0.070092,1.4955,1.3343,0.1645,0.14895,0.11,0.11163
0.2594,0.23608,4.102,3.9191,0.45122,0.40365,0.11,0.10299
0.18366,0.16253,1.3981,1.186,0.15379,0.13871,0.11,0.11695
0.20455,0.18621,1.3572,1.8263,0.14929,0.12486,0.11,0.068366
0.18228,0.1659,4.4687,4.1601,0.49156,0.43604,0.11,0.10481
